,Group,variable,allmean,sd1,n1,se1,enrichment,max_mean,top,enrichstages,enrichcompartment,STAGES,Stageord
12,Elongation_L,Enterobacter,0.030217206,0.025645311,6,0.010469655,Seedling_L,3.346103076,1,Seedling,L,Elongation_L,3
18,Elongation_L,Moraxella,1.211175146,2.351551735,6,0.960016976,Seedling_L,2.570927428,2,Seedling,L,Elongation_L,3
14,Elongation_L,Escherichia-Shigella,0.08911716,0.025417803,6,0.010376775,Seedling_L,3.127860607,3,Seedling,L,Elongation_L,3
27,Elongation_L,Prevotella_9,0.629116241,1.052946126,6,0.429863456,Seedling_L,2.377724074,4,Seedling,L,Elongation_L,3
5,Elongation_L,Bacteroides,0.003915788,0.002580702,6,0.001053567,Seedling_L,2.122997768,5,Seedling,L,Elongation_L,3
23,Elongation_L,Prevotella_1,0.043583691,0.102988515,6,0.042044885,Seedling_L,0.826176845,6,Seedling,L,Elongation_L,3
29,Elongation_L,Roseburia,0.034904242,0.022400288,6,0.009144879,Tillering_L,0.505129778,7,Tillering,L,Elongation_L,3
9,Elongation_L,Coprococcus_1,0.005311047,0.002967087,6,0.001211308,Tillering_L,0.652949567,8,Tillering,L,Elongation_L,3
19,Elongation_L,Nocardia,0.480294254,1.174052462,6,0.479304911,Elongation_L,0.480294254,9,Elongation,L,Elongation_L,3
20,Elongation_L,Pandoraea,0,0,6,0,Seedling_R,0.268417208,10,Seedling,R,Elongation_L,3
4,Elongation_L,Acinetobacter,0,0,6,0,Seedling_L,0.204971746,11,Seedling,L,Elongation_L,3
17,Elongation_L,Lachnoclostridium,0.002693142,0.002122556,6,0.00086653,Tillering_L,0.265934164,12,Tillering,L,Elongation_L,3
10,Elongation_L,Coprococcus_2,0.002099244,0.001779596,6,0.000726517,Tillering_L,0.291218627,13,Tillering,L,Elongation_L,3
7,Elongation_L,Bordetella,0,0,6,0,Elongation_R,0.152628121,14,Elongation,R,Elongation_L,3
22,Elongation_L,Prevotella,0.04621472,0.011160391,6,0.00455621,Elongation_L,0.04621472,15,Elongation,L,Elongation_L,3
28,Elongation_L,Proteus,0.000526545,0.000824388,6,0.000336555,Tillering_L,0.083934316,16,Tillering,L,Elongation_L,3
31,Elongation_L,Stenotrophomonas,0.002285003,0.001539973,6,0.000628691,Seedling_R,0.095555181,17,Seedling,R,Elongation_L,3
6,Elongation_L,Bifidobacterium,0,0,6,0,Tillering_L,0.063888862,18,Tillering,L,Elongation_L,3
25,Elongation_L,Prevotella_6,0.016579928,0.008631173,6,0.003523662,Tillering_R,0.019354025,19,Tillering,R,Elongation_L,3
16,Elongation_L,Haemophilus,0.000231852,0.000567919,6,0.000231852,Elongation_R,0.037096616,20,Elongation,R,Elongation_L,3
43,Elongation_R,Enterobacter,0.443621663,0.505526318,6,0.206380255,Seedling_L,3.346103076,1,Seedling,L,Elongation_R,6
49,Elongation_R,Moraxella,0,0,6,0,Seedling_L,2.570927428,2,Seedling,L,Elongation_R,6
45,Elongation_R,Escherichia-Shigella,0.460248386,0.354616219,6,0.144771465,Seedling_L,3.127860607,3,Seedling,L,Elongation_R,6
58,Elongation_R,Prevotella_9,0.020064349,0.010236659,6,0.004179099,Seedling_L,2.377724074,4,Seedling,L,Elongation_R,6
36,Elongation_R,Bacteroides,0.120844383,0.126147087,6,0.051499333,Seedling_L,2.122997768,5,Seedling,L,Elongation_R,6
54,Elongation_R,Prevotella_1,0,0,6,0,Seedling_L,0.826176845,6,Seedling,L,Elongation_R,6
60,Elongation_R,Roseburia,0.067284132,0.021189417,6,0.008650543,Tillering_L,0.505129778,7,Tillering,L,Elongation_R,6
40,Elongation_R,Coprococcus_1,0.002800829,0.00383229,6,0.001564526,Tillering_L,0.652949567,8,Tillering,L,Elongation_R,6
50,Elongation_R,Nocardia,0.04159746,0.07591641,6,0.030992745,Elongation_L,0.480294254,9,Elongation,L,Elongation_R,6
51,Elongation_R,Pandoraea,0.019225914,0.023685976,6,0.009669759,Seedling_R,0.268417208,10,Seedling,R,Elongation_R,6
35,Elongation_R,Acinetobacter,0.101300441,0.051162853,6,0.020887147,Seedling_L,0.204971746,11,Seedling,L,Elongation_R,6
48,Elongation_R,Lachnoclostridium,0.03138357,0.029971582,6,0.012235847,Tillering_L,0.265934164,12,Tillering,L,Elongation_R,6
41,Elongation_R,Coprococcus_2,0.000270646,0.000662945,6,0.000270646,Tillering_L,0.291218627,13,Tillering,L,Elongation_R,6
38,Elongation_R,Bordetella,0.152628121,0.085642848,6,0.034963546,Elongation_R,0.152628121,14,Elongation,R,Elongation_R,6
53,Elongation_R,Prevotella,0.008578199,0.007402057,6,0.003021877,Elongation_L,0.04621472,15,Elongation,L,Elongation_R,6
59,Elongation_R,Proteus,0.039928939,0.019969247,6,0.008152411,Tillering_L,0.083934316,16,Tillering,L,Elongation_R,6
62,Elongation_R,Stenotrophomonas,0.020242439,0.033588153,6,0.013712306,Seedling_R,0.095555181,17,Seedling,R,Elongation_R,6
37,Elongation_R,Bifidobacterium,0.013298846,0.001909438,6,0.000779525,Tillering_L,0.063888862,18,Tillering,L,Elongation_R,6
56,Elongation_R,Prevotella_6,0,0,6,0,Tillering_R,0.019354025,19,Tillering,R,Elongation_R,6
47,Elongation_R,Haemophilus,0.037096616,0.013451239,6,0.005491445,Elongation_R,0.037096616,20,Elongation,R,Elongation_R,6
74,Seedling_L,Enterobacter,3.346103076,3.662799364,6,1.495331578,Seedling_L,3.346103076,1,Seedling,L,Seedling_L,1
80,Seedling_L,Moraxella,2.570927428,3.670847641,6,1.498617274,Seedling_L,2.570927428,2,Seedling,L,Seedling_L,1
76,Seedling_L,Escherichia-Shigella,3.127860607,2.557982999,6,1.044292186,Seedling_L,3.127860607,3,Seedling,L,Seedling_L,1
89,Seedling_L,Prevotella_9,2.377724074,4.739324899,6,1.934821288,Seedling_L,2.377724074,4,Seedling,L,Seedling_L,1
67,Seedling_L,Bacteroides,2.122997768,3.546647566,6,1.447912806,Seedling_L,2.122997768,5,Seedling,L,Seedling_L,1
85,Seedling_L,Prevotella_1,0.826176845,2.023711707,6,0.826176845,Seedling_L,0.826176845,6,Seedling,L,Seedling_L,1
91,Seedling_L,Roseburia,0.000971391,0.000757155,6,0.000309107,Tillering_L,0.505129778,7,Tillering,L,Seedling_L,1
71,Seedling_L,Coprococcus_1,0.000260441,0.000637948,6,0.000260441,Tillering_L,0.652949567,8,Tillering,L,Seedling_L,1
81,Seedling_L,Nocardia,0,0,6,0,Elongation_L,0.480294254,9,Elongation,L,Seedling_L,1
82,Seedling_L,Pandoraea,0.003960322,0.008387143,6,0.003424037,Seedling_R,0.268417208,10,Seedling,R,Seedling_L,1
66,Seedling_L,Acinetobacter,0.204971746,0.501297494,6,0.204653845,Seedling_L,0.204971746,11,Seedling,L,Seedling_L,1
79,Seedling_L,Lachnoclostridium,0.00053011,0.0012985,6,0.00053011,Tillering_L,0.265934164,12,Tillering,L,Seedling_L,1
72,Seedling_L,Coprococcus_2,0,0,6,0,Tillering_L,0.291218627,13,Tillering,L,Seedling_L,1
69,Seedling_L,Bordetella,0,0,6,0,Elongation_R,0.152628121,14,Elongation,R,Seedling_L,1
84,Seedling_L,Prevotella,0,0,6,0,Elongation_L,0.04621472,15,Elongation,L,Seedling_L,1
90,Seedling_L,Proteus,0,0,6,0,Tillering_L,0.083934316,16,Tillering,L,Seedling_L,1
93,Seedling_L,Stenotrophomonas,0.002298847,0.004893425,6,0.001997732,Seedling_R,0.095555181,17,Seedling,R,Seedling_L,1
68,Seedling_L,Bifidobacterium,0.001229532,0.001140937,6,0.000465786,Tillering_L,0.063888862,18,Tillering,L,Seedling_L,1
87,Seedling_L,Prevotella_6,0.000250307,0.000613124,6,0.000250307,Tillering_R,0.019354025,19,Tillering,R,Seedling_L,1
78,Seedling_L,Haemophilus,0,0,6,0,Elongation_R,0.037096616,20,Elongation,R,Seedling_L,1
105,Seedling_R,Enterobacter,0.404932535,0.423802742,6,0.173016745,Seedling_L,3.346103076,1,Seedling,L,Seedling_R,4
111,Seedling_R,Moraxella,0.023919564,0.045858302,6,0.018721573,Seedling_L,2.570927428,2,Seedling,L,Seedling_R,4
107,Seedling_R,Escherichia-Shigella,0.079721736,0.153510076,6,0.062670226,Seedling_L,3.127860607,3,Seedling,L,Seedling_R,4
120,Seedling_R,Prevotella_9,0.083849655,0.093231565,6,0.038061627,Seedling_L,2.377724074,4,Seedling,L,Seedling_R,4
98,Seedling_R,Bacteroides,0.011843211,0.02745475,6,0.011208355,Seedling_L,2.122997768,5,Seedling,L,Seedling_R,4
116,Seedling_R,Prevotella_1,0.000282759,0.000692615,6,0.000282759,Seedling_L,0.826176845,6,Seedling,L,Seedling_R,4
122,Seedling_R,Roseburia,0.106481826,0.259137036,6,0.105792252,Tillering_L,0.505129778,7,Tillering,L,Seedling_R,4
102,Seedling_R,Coprococcus_1,0.008120847,0.004794963,6,0.001957536,Tillering_L,0.652949567,8,Tillering,L,Seedling_R,4
112,Seedling_R,Nocardia,0.089663383,0.095682714,6,0.039062305,Elongation_L,0.480294254,9,Elongation,L,Seedling_R,4
113,Seedling_R,Pandoraea,0.268417208,0.104826832,6,0.042795375,Seedling_R,0.268417208,10,Seedling,R,Seedling_R,4
97,Seedling_R,Acinetobacter,0.000262207,0.000642273,6,0.000262207,Seedling_L,0.204971746,11,Seedling,L,Seedling_R,4
110,Seedling_R,Lachnoclostridium,0.000312913,0.000766476,6,0.000312913,Tillering_L,0.265934164,12,Tillering,L,Seedling_R,4
103,Seedling_R,Coprococcus_2,0,0,6,0,Tillering_L,0.291218627,13,Tillering,L,Seedling_R,4
100,Seedling_R,Bordetella,0.000270642,0.000662934,6,0.000270642,Elongation_R,0.152628121,14,Elongation,R,Seedling_R,4
115,Seedling_R,Prevotella,0,0,6,0,Elongation_L,0.04621472,15,Elongation,L,Seedling_R,4
121,Seedling_R,Proteus,0,0,6,0,Tillering_L,0.083934316,16,Tillering,L,Seedling_R,4
124,Seedling_R,Stenotrophomonas,0.095555181,0.098286093,6,0.04012513,Seedling_R,0.095555181,17,Seedling,R,Seedling_R,4
99,Seedling_R,Bifidobacterium,0,0,6,0,Tillering_L,0.063888862,18,Tillering,L,Seedling_R,4
118,Seedling_R,Prevotella_6,0,0,6,0,Tillering_R,0.019354025,19,Tillering,R,Seedling_R,4
109,Seedling_R,Haemophilus,0.000312913,0.000766476,6,0.000312913,Elongation_R,0.037096616,20,Elongation,R,Seedling_R,4
136,Tillering_L,Enterobacter,0.119100302,0.177002443,6,0.072260945,Seedling_L,3.346103076,1,Seedling,L,Tillering_L,2
142,Tillering_L,Moraxella,0.289720261,0.694342822,6,0.28346427,Seedling_L,2.570927428,2,Seedling,L,Tillering_L,2
138,Tillering_L,Escherichia-Shigella,0.170620401,0.112165742,6,0.045791472,Seedling_L,3.127860607,3,Seedling,L,Tillering_L,2
151,Tillering_L,Prevotella_9,0.146111442,0.077381655,6,0.031590928,Seedling_L,2.377724074,4,Seedling,L,Tillering_L,2
129,Tillering_L,Bacteroides,0.007477373,0.012274967,6,0.005011234,Seedling_L,2.122997768,5,Seedling,L,Tillering_L,2
147,Tillering_L,Prevotella_1,0.00138408,0.001671249,6,0.000682285,Seedling_L,0.826176845,6,Seedling,L,Tillering_L,2
153,Tillering_L,Roseburia,0.505129778,0.607432029,6,0.247983088,Tillering_L,0.505129778,7,Tillering,L,Tillering_L,2
133,Tillering_L,Coprococcus_1,0.652949567,1.120064734,6,0.457264513,Tillering_L,0.652949567,8,Tillering,L,Tillering_L,2
143,Tillering_L,Nocardia,0.001060881,0.000832941,6,0.000340047,Elongation_L,0.480294254,9,Elongation,L,Tillering_L,2
144,Tillering_L,Pandoraea,0,0,6,0,Seedling_R,0.268417208,10,Seedling,R,Tillering_L,2
128,Tillering_L,Acinetobacter,0,0,6,0,Seedling_L,0.204971746,11,Seedling,L,Tillering_L,2
141,Tillering_L,Lachnoclostridium,0.265934164,0.474529113,6,0.193725699,Tillering_L,0.265934164,12,Tillering,L,Tillering_L,2
134,Tillering_L,Coprococcus_2,0.291218627,0.660693366,6,0.269726937,Tillering_L,0.291218627,13,Tillering,L,Tillering_L,2
131,Tillering_L,Bordetella,0,0,6,0,Elongation_R,0.152628121,14,Elongation,R,Tillering_L,2
146,Tillering_L,Prevotella,0.044026811,0.015887942,6,0.006486225,Elongation_L,0.04621472,15,Elongation,L,Tillering_L,2
152,Tillering_L,Proteus,0.083934316,0.163911476,6,0.06691658,Tillering_L,0.083934316,16,Tillering,L,Tillering_L,2
155,Tillering_L,Stenotrophomonas,0.002323709,0.002229178,6,0.000910058,Seedling_R,0.095555181,17,Seedling,R,Tillering_L,2
130,Tillering_L,Bifidobacterium,0.063888862,0.155746582,6,0.063583276,Tillering_L,0.063888862,18,Tillering,L,Tillering_L,2
149,Tillering_L,Prevotella_6,0.013358441,0.004524069,6,0.001846943,Tillering_R,0.019354025,19,Tillering,R,Tillering_L,2
140,Tillering_L,Haemophilus,0.005832641,0.007888887,6,0.003220625,Elongation_R,0.037096616,20,Elongation,R,Tillering_L,2
167,Tillering_R,Enterobacter,0.065593378,0.064062,6,0.026153202,Seedling_L,3.346103076,1,Seedling,L,Tillering_R,5
173,Tillering_R,Moraxella,0.011003694,0.022871576,6,0.009337282,Seedling_L,2.570927428,2,Seedling,L,Tillering_R,5
169,Tillering_R,Escherichia-Shigella,0.132462561,0.037478204,6,0.015300413,Seedling_L,3.127860607,3,Seedling,L,Tillering_R,5
182,Tillering_R,Prevotella_9,0.068546403,0.02214137,6,0.009039177,Seedling_L,2.377724074,4,Seedling,L,Tillering_R,5
160,Tillering_R,Bacteroides,0.018321321,0.024491807,6,0.009998738,Seedling_L,2.122997768,5,Seedling,L,Tillering_R,5
178,Tillering_R,Prevotella_1,0.000281294,0.000689027,6,0.000281294,Seedling_L,0.826176845,6,Seedling,L,Tillering_R,5
184,Tillering_R,Roseburia,0.012454207,0.007718263,6,0.003150968,Tillering_L,0.505129778,7,Tillering,L,Tillering_R,5
164,Tillering_R,Coprococcus_1,0.009505988,0.004345448,6,0.001774022,Tillering_L,0.652949567,8,Tillering,L,Tillering_R,5
174,Tillering_R,Nocardia,0.008344141,0.009230846,6,0.003768477,Elongation_L,0.480294254,9,Elongation,L,Tillering_R,5
175,Tillering_R,Pandoraea,0.038996427,0.007657893,6,0.003126322,Seedling_R,0.268417208,10,Seedling,R,Tillering_R,5
159,Tillering_R,Acinetobacter,0,0,6,0,Seedling_L,0.204971746,11,Seedling,L,Tillering_R,5
172,Tillering_R,Lachnoclostridium,0.00276454,0.001244347,6,0.000508003,Tillering_L,0.265934164,12,Tillering,L,Tillering_R,5
165,Tillering_R,Coprococcus_2,0.002249402,0.001373122,6,0.000560575,Tillering_L,0.291218627,13,Tillering,L,Tillering_R,5
162,Tillering_R,Bordetella,0.001213423,0.002972267,6,0.001213423,Elongation_R,0.152628121,14,Elongation,R,Tillering_R,5
177,Tillering_R,Prevotella,0.036681926,0.03276967,6,0.013378162,Elongation_L,0.04621472,15,Elongation,L,Tillering_R,5
183,Tillering_R,Proteus,0.008813523,0.015906927,6,0.006493976,Tillering_L,0.083934316,16,Tillering,L,Tillering_R,5
186,Tillering_R,Stenotrophomonas,0.002211211,0.001369239,6,0.000558989,Seedling_R,0.095555181,17,Seedling,R,Tillering_R,5
161,Tillering_R,Bifidobacterium,0,0,6,0,Tillering_L,0.063888862,18,Tillering,L,Tillering_R,5
180,Tillering_R,Prevotella_6,0.019354025,0.00348978,6,0.001424697,Tillering_R,0.019354025,19,Tillering,R,Tillering_R,5
171,Tillering_R,Haemophilus,0,0,6,0,Elongation_R,0.037096616,20,Elongation,R,Tillering_R,5
