func,SRR30617128,SRR30617129,SRR30617130,SRR30617131,SRR30617132,SRR30617133,SRR30617134,SRR30617135,SRR30617136,SRR30617137,SRR30617138,SRR30617139,SRR30617140,SRR30617141,SRR30617142,SRR30617143,SRR30617144,SRR30617145,SRR30617146,SRR30617147,SRR30617148,SRR30617149,SRR30617150,SRR30617151,SRR30617152,SRR30617153,SRR30617154,SRR30617155,SRR30617156,SRR30617157,SRR30617158,SRR30617159,SRR30617160,SRR30617161,SRR30617162,SRR30617163,SRR30617164,SRR30617165,SRR30617166,SRR30617167,SRR30617168,SRR30617169,SRR30633102,SRR30633103,SRR30633104,SRR30633105,SRR30633106,SRR30633107,SRR30633108,SRR30633109,SRR30633120,SRR30633121,SRR30633190,SRR30633191,SRR30633192,SRR30633193,SRR30633194,SRR30633195,SRR30633196,SRR30633197,SRR30633208,SRR30633209,SRR30633243,SRR30633244,SRR30633245,SRR30633246,SRR30633247,SRR30633248,SRR30633249,SRR30633250,SRR30633251,SRR30633252,SRR30633253,SRR30633254,SRR30633255,SRR30633266,SRR30633267,SRR30633297,SRR30633298,SRR30633299,SRR30633300,SRR30633301,SRR30633302,SRR30633303,SRR30633312,SRR30633313,SRR30663788,SRR30663789,SRR30663790,SRR30663791,SRR30663792,SRR30663793,SRR30663794,SRR30663795,SRR30663806,SRR30663807,SRR30663808,SRR30663809,SRR30663810,SRR30663811,SRR30663812,SRR30663813,SRR30663814,SRR30663815,SRR30663826,SRR30663827,SRR30663829,SRR30663830,SRR30663831,SRR30663832,SRR30663833,SRR30663834,SRR30663835,SRR30663845,SRR30663846,SRR30663862,SRR30663863,SRR30663864,SRR30663865,SRR30663866,SRR30663869,SRR30663870,SRR30663874,SRR30663875,SRR30663876,SRR30663877,SRR30663878,SRR30663883,SRR30663884,SRR30663908,SRR30663909,SRR30663910,SRR30663911,SRR30663912,SRR30663918,SRR30663919,SRR30663920,SRR30663921,SRR30663922,SRR30663923,SRR30663924,SRR30663925,SRR30663926,SRR30663927,SRR30663936,SRR30663937,SRR30664010,SRR30664011,SRR30664012,SRR30664013,SRR30664014,SRR30664015,SRR30664016,SRR30664017,SRR30664028,SRR30664029,SRR30688664,SRR30688665,SRR30688666,SRR30688667,SRR30688668,SRR30688669,SRR30688670,SRR30688680,SRR30688681
methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nitrification,0,0.044620221,0.026365173,0.049987503,0.211645263,0.007781092,0.016182035,0.624971489,0,0.138625116,0,0.00324249,0,0.001649185,0.120092379,0.005226162,0.389207384,0.157981783,0.766607398,0.244636808,0.216161231,0.120204067,0.197070811,0.002634907,0.233125866,0.144684489,0.02635567,0.081858825,0.140550807,0.038796574,0.108988332,0.034605761,0.105831147,0.157550237,0.288468065,0.052785305,0.042308966,0.034714187,0.010580731,0.059050801,0.074755293,0.016851471,0,0.003349972,0,0.00281286,0,0.004397151,0.017741281,0.003301311,0.00544781,0.002410045,0.068415051,0.021612276,0.078341255,0.117412234,0.506072874,0.053215078,0.090927878,0,0.047398981,0.11142751,0.028822597,0,0.106712739,0.034048349,0.157381177,0.02033595,0.012178785,0.011946004,0.025883936,0.022021581,0,0.030055302,0,0.009681479,0,0,0.018772292,0.015136608,0.661622613,0.010706925,0.010063399,0.010073537,0.003943995,0.008212203,0.015253979,0.009529255,0.003847584,0.026113984,0.002204488,0.008173881,0.025216005,0.000790158,0.010554143,0.025567755,0.005073309,0.008747758,0,0.019090345,0.006714113,0.008118201,0.021327419,0.161864681,0.022051527,0.009137984,0.001524513,0.007648184,0,0.012059332,0,0,0.004123201,0.011719895,0.003739716,0,0,0,0,0,0.000635861,0,0.01214747,0.002317927,0.015958793,0.0007028,0.003451072,0,0,0.002574632,0.002453968,0.017750811,0.024818561,0.005372252,0.009958992,0.008293662,0.012665442,0.044374185,0.072373722,0.065159481,0.028800993,0.007958932,0.016870587,0.052624864,0.009530072,0.02500125,0,0.009018149,0,0,0,0,0.000797156,0.004264101,0,0.003261876,0,0.004052192,0.005645252,0,0,0.009330472,0,0.003318125,0.032225579
dark_sulfite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
respiration_of_sulfur_compounds,0.002859839,0.040563837,0.009305355,0.224943764,0.01432186,0.002593697,0.002489544,0.059303864,0.005899705,0,0.008662384,0,0.001425761,0,0.387990762,0.001306541,0.189344133,0.17032411,0.658757688,0.00289511,0,0,0.010450725,0,0,0.08549538,0,0,0,0,0.006411078,0,0,0,0,0,0,0,0,0.008435829,0.001557402,0,0,0,0,0.008438581,0,0,0,0,0,0,0,0,0.047004753,0,0,0,0.020665427,0,0.01579966,0,0,0,0,0,0,0,0,0,0.005176787,0,0,0,0,0,0,0,0,0.007568304,0.003275359,0,0.0050317,0.003357846,0,0,0,0,0,0,0,0,0,0,0.002512891,0,0.005073309,0,0,0,0,0,0,0.008093234,0,0,0.000138592,0.017845762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002024578,0.002317927,0.001100606,0.0007028,0,0,0,0,0,0,0.004512466,0,0,0,0,0,0,0.000638818,0,0.001326489,0.004016806,0.002392039,0.001906014,0.00166675,0,0,0,0,0.006099503,0.001320149,0,0.001705641,0.003479713,0.000652375,0,0,0,0.000582323,0,0,0,0,0.000671366
dissimilatory_arsenate_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dissimilatory_arsenite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dark_hydrogen_oxidation,0,0.095325018,0.001550893,0.049987503,0.011139224,0.044092854,0.013692492,0.059303864,0.015732547,0.048518791,0,0.012969958,0.027089452,0.003298371,0.036951501,0.005226162,0.042076474,0.074053961,0.405165127,0.00868533,0.033907644,0.006988609,0.02090145,0.009222175,0.013195804,0.013153135,0.003294459,0.037780996,0,0.003660054,0.016027696,0.001330991,0.253398521,0.042968246,0.488698839,0.002346014,0.020234723,0.026999923,0.007557665,0.008435829,0.008565711,0.001123431,0,0.006699943,0.004372158,0,0.007476636,0.013191452,0.002534469,0.009903932,0,0.01446027,0.017103763,0.054030689,0.010445501,0.634026066,0.168690958,0.168514412,0.074395536,0,0.367342102,0,0.021616948,0,0.045734031,0.076608784,0.013489815,0.00406719,0.012178785,0.005973002,0,0,0,0,0,0.00322716,0,0.003351431,0.034415869,0.030273216,0.032753595,0.021413849,0.012579249,0.171250126,0.047327943,0,0.008474433,0.006352837,0.007695169,0.031209396,0.008817953,0.037154003,0.007416472,0.005531105,0.005025782,0.001503986,0.050733093,0.021869396,0.030434195,0.014317759,0.033570565,0.032472804,0,0.097118809,0.055128818,0.006091989,0.003187618,0.005098789,0.019202151,0.008039555,0,0.003803728,0.004123201,0.002929974,0.003739716,0,0,0,0,0,0,0,0.031380965,0.061425061,0.06328487,0.084335995,0.007764913,0,0,0.015447793,0.008997881,0.023398796,0.012785319,0.008953754,0.016988869,0.004976197,0.012665442,0.013866933,0.098319018,0.024913919,0.027324019,0.00464271,0.024100838,0.0446514,0.019060144,0.006667,0.001785491,0.013527224,0.00591373,0.014518881,0.008132671,0.019142167,0.007174402,0.06225588,0.032477324,0.022833135,0.000998432,0.009455115,0,0.009317168,0.001515393,0.027324954,0.003387649,0.022673856,0.061094327
nitrogen_fixation,0.002859839,0.135888855,0.034119636,0.281179705,0.388281536,0.129684866,0.146883091,0.145978742,0.001966568,0.245366455,0.012993575,0.024318672,0.025663692,0.019790224,0.277136259,0.036583135,0.373428707,0.466539952,0.670417116,0.687588663,1.616970776,0.626179328,0.640480136,0.474283305,7.776727001,7.964223472,0.662186203,0.74932309,0.345679012,0.826440231,1.062636235,0.057232604,2.838063439,3.935891376,2.611484423,2.790583102,0.406533976,0.079714058,0.22672995,0.359366301,0.692265163,1.217799647,0.017993702,0.100499146,0.039349423,0.07032151,0.02741433,0.041772931,0.015206813,0.062724902,0,0.149422794,0.022805017,0.778041928,0.16712801,0.199600798,0.067476383,0.044345898,0.041330853,0,0.031599321,0.086665841,0.003602825,0,0.045734031,0,0.229326858,0.03660471,0.006089392,0.011946004,0.025883936,0,0.004349339,0.012022121,0.00733326,0,0.011209506,0,0.159564483,0.209389742,0.049130392,0.093685591,0.153466841,0.036936302,0.264247683,0.032848813,1.194895002,0.028587764,0.056431237,1.435632213,0.337286716,0.795838752,1.837060111,0.296309173,0.188969413,0.100767033,0.035513165,0.008747758,0.027052617,0.033408104,0.013428226,0.024354603,0.025592902,0.032372936,0.033077291,0.006091989,0.006652419,0.040790312,0.009601075,0.004019777,0,0,0,0.017579842,0.022438295,0,0,0,0,0,0,0,0.099204341,0.498354272,0.107859431,0.514449567,0.026745811,0.000761464,0.001574146,0.651381934,0.145602081,0.280785554,0.253450156,0.080583785,0.048037493,0.019904789,0.03293015,0.085974984,0.182982617,0.331546771,2.019761912,1.028028705,0.403287354,0.586846973,2.43588644,0.06667,0.046422769,0.03269079,0.001182746,0.01088916,0.184340542,0.033663811,0.13312501,0.019614866,0.828171759,0.439700951,0.063899678,0.047275576,0.03669414,1.008583441,0.005303874,1.874091945,0.088078864,1.52025439,1.196374622
dark_oxidation_of_sulfur_compounds,0.094374696,0.8477842,0.40323206,0.974756311,0.994573606,0.394241992,0.438159729,2.185119292,0.14159292,0.554500464,0.222334512,0.134563318,0.13259574,0.224289201,2.087759815,0.223418433,2.09856414,1.38727753,2.468883901,0.344518109,0.665437515,0.44866867,0.34636688,0.245046374,2.172909015,2.768734997,0.337682019,0.872111328,0.725546059,0.398213894,1.16040518,2.286642176,3.698127832,2.366118105,4.259146135,3.198789457,2.718810934,3.778703489,5.793705977,2.038096202,0.394022691,0.51790188,0.008996851,0.033499715,0.017488632,0.078760091,0.902180685,1.178436373,0.08363747,0.115545872,0.02723905,0.400067481,0.182440137,0.669980549,0.229801013,0.164377128,0.843454791,0.65631929,0.855548667,0.005462093,0.082948217,0.346663365,0.259403372,0.149253731,0.264241069,0.544773578,0.247313278,0.429088543,0.249665083,0.388245132,0.217425066,0.029362108,0.256610995,0.198364992,0.01466652,0.158130829,0.123304562,0.150814398,0.919842313,0.754307626,4.585503259,0.484488343,0.256616685,0.41301501,0.536383356,0.131395253,0.042372163,0.090527921,0.219312308,0.759216326,1.10077451,0.228125581,0.269217933,0.689017597,0.203544182,0.096255076,0.279032013,0.21432008,0.463276072,0.190903451,0.631126628,0.248958164,0.19621225,0.307542894,0.220515271,0.2223576,0.03949874,0.147864882,0.148816667,0.132652651,0.122303758,0.030429821,0.045355214,0.093759156,0.108451758,0.007015575,0.013882622,0.005131701,1.418439716,0.031302272,3.772565128,0.018903724,0.148806511,0.877335311,0.160688539,0.861632745,0.142356737,0.003807319,0.003148292,0.505271559,0.190591488,0.505091255,1.608694017,1.945650714,0.718219098,0.875810705,1.640174783,0.160856422,0.274473925,0.309188126,0.277671107,0.326979453,1.28457466,0.763857881,2.278640249,0.06500325,0.117842413,0.075526998,0.046127098,0.298846959,1.238876878,0.227725779,0.169794174,0.223438912,0.216902127,0.329449526,0.066894975,0.07293946,0.100203229,0.182849423,0.017427015,0.32390067,0.048104611,0.515415457,0.723732796
manganese_oxidation,0.188749392,0.571950106,0.257448161,0.949762559,0.714501679,0.487615095,0.336088429,2.60937001,0.348082596,1.157519719,0.164585288,0.249671698,0.239527788,0.283659872,0.849884527,0.202513784,0.778414769,1.577349362,2.282333052,0.170811499,0.718418208,0.443077783,0.304563981,0.059285413,0.77855242,1.545493407,0.036239046,0.497449783,0.362773029,0.125905863,0.564174894,0.33674067,0.41885285,0.531373981,0.502273807,0.362459091,0.296162761,0.222427936,0.290214335,0.271633683,0.190781738,0.130318043,0.017993702,0.016749858,0.008744316,0.061882929,0.029906542,0.046170082,0.093775345,0.046218349,0.03813467,0.091581713,0.256556442,0.216122758,0.376038022,0.528355055,0.809716599,0.301552106,0.23971895,0.005462093,0.161946518,0.656184227,0.154921458,0.426439232,0.630113319,0.272386789,0.071945681,0.083377395,0.030446961,0.047784016,0.067298235,0.025691845,0.017397356,0.00601106,0.01099989,0.025817278,0.052311026,0.010054293,0.228396221,0.158934383,0.157217255,0.235552343,0.040253598,0.701789732,0.268191678,0.057485423,0.106777851,0.382758402,0.965743674,0.159231612,0.154314184,0.420583318,0.06081507,0.350039903,0.057293918,0.084223191,0.07609964,0.043738792,0.04734208,0.028635518,0.020142339,0.064945608,0.025592902,0.291356426,0.191113235,0.067011879,0.010255813,0.056086679,0.038404301,0.028138441,0.177896375,0.011411183,0.016492805,0.058599473,0.003739716,0.001753894,0.001156885,0.0014662,0,0.000978196,0.000635861,0.000700138,0.107302654,0.915581104,0.12656974,0.729506353,0.040550101,0.003045855,0.000787073,0.576073943,0.109610555,0.347754522,0.137630203,0.185342705,0.114821324,0.154262113,0.138053322,0.076268131,0.151575153,0.174397435,0.102649691,0.136628331,0.507724319,0.189768451,0.114360866,0.0833375,0.407091971,0.055236163,0.041396113,0.275858731,0.142999465,0.14125599,0.296541938,0.109160995,0.434964159,0.217240974,0.091855786,0.105356998,0.189115953,0.09317168,0.007576963,0.16328326,0.043361903,0.456795244,0.2047667
manganese_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animal_parasites_or_symbionts,0.446134927,2.180306257,1.231408676,4.536365909,4.61004758,2.18389314,1.137721569,7.28068975,1.97640118,3.182832666,0.461993792,7.045929865,0.670107502,1.220397124,5.200923788,0.642817947,3.750065744,9.024709338,8.549275658,1.207260936,1.886112701,1.291494863,2.596258641,0.55596543,7.328069674,8.085889974,0.589708111,2.339273346,1.166191833,0.84327648,2.809655084,1.176595858,2.587646077,2.814420144,2.682753003,2.075048973,1.857915456,1.271567796,1.907554642,1.332860927,0.645543105,1.413276712,0.166441745,1.011691401,0.463448758,0.697589379,0.174454829,1.972122065,0.400446067,2.350533162,0.1089562,2.390764707,1.117445838,3.738923709,2.350237635,4.602559587,4.588394062,1.889135255,1.347385824,0.027310465,0.983528854,1.139036771,0.789018591,1.130063966,2.02754205,1.31937351,0.566572238,6.472932851,0.919498234,1.260303429,1.014650308,0.033032372,0.282707029,6.269535946,0.07699923,0.555071482,1.244255128,0.187680139,1.467367499,0.860263882,1.781795552,1.215235954,1.330884573,3.022061046,1.747189903,0.726779995,0.581346079,0.946572645,0.302676636,2.639423199,0.773040577,1.947612855,2.474135054,0.512812409,0.642797551,0.333884795,1.623458982,1.329659275,1.640064926,0.825657424,0.51362965,0.592628673,0.332707729,2.6141146,3.914146055,0.43862321,0.812703904,0.859145953,0.878498392,0.96876633,1.052553554,0.718904526,2.609986393,1.626135365,1.656694091,0.010523362,0.024294589,0.016128205,2.127659574,0.03912784,4.032632402,0.044808827,1.486040532,3.502387465,1.605234484,3.108484201,0.162200404,0.005330247,0.007083658,0.758872826,0.316561828,0.476044474,1.206332494,0.403814299,0.453427065,0.195730423,2.030270407,0.501982971,0.929934044,1.123681638,1.879449384,2.647671349,0.993757883,1.625789373,2.369175935,0.320016001,0.364240184,0.188253861,1.490260086,0.932838078,0.913570039,0.433669091,1.557642332,0.364154258,1.819890041,1.304750597,0.494224068,0.213415458,0.32036807,1.463960029,0.208366483,4.206709942,0.215454453,2.039540993,2.744545149
plant_pathogen,0.180169874,0.790994828,1.276384559,2.224443889,2.670231218,0.619893658,0.71200956,2.814652616,0.446411013,1.082662157,0.206453476,0.338840161,0.432005475,0.392506102,2.189376443,0.173769892,2.209014885,4.546913184,2.903197598,0.374916766,0.661199059,0.564679572,0.394141622,0.271395447,3.171391498,3.574364539,0.368979377,0.894150242,0.404558405,0.401141937,1.195666111,0.618910717,1.574051991,1.572637821,1.66123668,1.229311093,1.039328943,0.694283731,0.719489706,0.63606148,0.340292324,0.508914428,0.967161493,0.013399886,0.376005596,0.132204439,0.174454829,0.358367778,0.065896188,0.05282097,0.02723905,1.952136505,0.313568985,1.231899719,0.929649553,0.446166491,2.699055331,0.310421286,1.169663154,0.010924186,0.185646009,0.321901696,3.797377144,1.257995736,0.238833274,0.144705482,0.125904942,2.234920893,0.82815735,1.756062597,0.584976963,0.033032372,0.204418928,0.264486655,0.02566641,9.213541162,2.1783806,0.033514311,0.829109568,0.441484397,1.057941109,0.586204128,1.089362987,1.279339176,0.138039834,0.385973557,0.074575007,0.063528365,0.111579946,1.052839418,0.352718134,0.44584804,0.967107947,0.210972131,14.7240343,0.046623552,1.131347978,0.992870577,0.899499527,0.663389491,0.198066335,0.221897494,0.042654837,0.574619618,0.433680032,0.207127627,34.91356013,0.63734863,0.806490327,0.912489448,0.785708991,0.612400152,3.150125758,1.438617052,1.398653702,1.078644591,0.089080161,0.042519812,3.546099291,3.834528363,3.901644973,5.949071967,0.499058571,0.207454453,0.498574715,0.191864388,0.025020275,0.000761464,0,0.298013671,0.920237871,0.278364989,0.192531869,0.06983928,0.18629174,0.08293662,1.560382496,0.044374185,0.045062883,0.623486799,0.684577438,0.568400387,0.214497457,0.267111054,0.726191497,0.0100005,0.201760494,0.800360726,0.046127098,0.07743403,0.132833626,0.149836962,0.973327169,0.386327585,0.487159858,0.375115797,0.346456064,0.07158873,0.172180196,0.759349196,0.034096334,1.166975461,0.054879908,0.84556892,0.933870426
