Sample,animal_parasites_or_symbionts,Group2
SRR30663883,0.005330247,Rice_L_Field
SRR30663884,0.007083658,Rice_L_Field
SRR30663862,0.010523362,Rice_L_Field
SRR30663864,0.016128205,Rice_L_Field
SRR30663863,0.024294589,Rice_L_Field
SRR30663866,0.03912784,Rice_L_Field
SRR30663870,0.044808827,Rice_L_Field
CRR734031,0.07790589,ZH11_L_Field
SRR30663878,0.162200404,Rice_L_Field
CRR044885,0.186567164,ZH11_R_Field
SRR30664011,0.188253861,Rice_L_Field
SRR30663919,0.195730423,Rice_L_Field
SRR30688668,0.208366483,Rice_L_Field
SRR30688665,0.213415458,Rice_L_Field
SRR30688670,0.215454453,Rice_L_Field
CRR734027,0.219155566,ZH11_L_Field
CRR044886,0.220264317,ZH11_R_Field
CRR044858,0.245700246,ZH11_R_Field
CRR734030,0.258137545,ZH11_L_Field
CRR044847,0.283286119,ZH11_R_Field
SRR30663790,0.302676636,Rice_L_Field
SRR30663909,0.316561828,Rice_L_Field
SRR30663937,0.320016001,Rice_L_Field
SRR30688666,0.32036807,Rice_L_Field
SRR30663807,0.333884795,Rice_L_Field
CRR044887,0.334448161,ZH11_R_Field
SRR30664017,0.364154258,Rice_L_Field
SRR30664010,0.364240184,Rice_L_Field
SRR30663912,0.403814299,Rice_L_Field
CRR044851,0.427350427,ZH11_R_Field
SRR30664015,0.433669091,Rice_L_Field
SRR30663918,0.453427065,Rice_L_Field
CRR044860,0.471698113,ZH11_R_Field
SRR30663910,0.476044474,Rice_L_Field
SRR30688664,0.494224068,Rice_L_Field
CRR044880,0.495049505,ZH11_R_Field
SRR30663921,0.501982971,Rice_L_Field
SRR30663795,0.512812409,Rice_L_Field
CRR044883,0.549450549,ZH11_R_Field
CRR044881,0.552486188,ZH11_R_Field
SRR22998162,0.560136589,Ningbo_L_Urban
SRR30663788,0.581346079,Rice_L_Field
SRR30663806,0.642797551,Rice_L_Field
CRR734029,0.748416811,ZH11_L_Field
DS3_L_4,0.753565982,ZH11_L_Urban
SRR30663908,0.758872826,Rice_L_Field
DS3_L_3,0.759249034,ZH11_L_Urban
SRR30663792,0.773040577,Rice_L_Field
CRR734032,0.799372855,ZH11_L_Field
CRR734028,0.804876887,ZH11_L_Field
CRR044856,0.865800866,ZH11_R_Field
SRR30664014,0.913570039,Rice_L_Field
CRR044857,0.921658986,ZH11_R_Field
SRR30663922,0.929934044,Rice_L_Field
SRR30664013,0.932838078,Rice_L_Field
SRR30663789,0.946572645,Rice_L_Field
CRR044848,0.970873786,ZH11_R_Field
SRR30663926,0.993757883,Rice_L_Field
CRR044862,0.995024876,ZH11_R_Field
CRR044849,1.058201058,ZH11_R_Field
CRR044877,1.081916538,ZH11_R_Field
CRR044861,1.098901099,ZH11_R_Field
SRR30663923,1.123681638,Rice_L_Field
DS3_L_6,1.186344642,ZH11_L_Urban
CRR044855,1.19047619,ZH11_R_Field
SRR30663911,1.206332494,Rice_L_Field
DS2_R_5,1.231824243,ZH11_R_Urban
SRR22998191,1.250154722,Ningbo_L_Urban
SRR22998157,1.258751676,Ningbo_L_Urban
CRR044853,1.276595745,ZH11_R_Field
CRR044854,1.298701299,ZH11_R_Field
SRR30664029,1.304750597,Rice_L_Field
DS1_R_2,1.384922343,ZH11_R_Urban
CRR044850,1.398601399,ZH11_R_Field
DS1_R_4,1.434308663,ZH11_R_Urban
SRR30688667,1.463960029,Rice_L_Field
CRR044879,1.46627566,ZH11_R_Field
CRR044878,1.474926254,ZH11_R_Field
SRR30663874,1.486040532,Rice_L_Field
SRR30664012,1.490260086,Rice_L_Field
SRR22998152,1.510921334,Ningbo_L_Urban
DS2_R_3,1.527823202,ZH11_R_Urban
DS2_R_1,1.555093998,ZH11_R_Urban
SRR30664016,1.557642332,Rice_L_Field
CRR044852,1.587301587,ZH11_R_Field
SRR30663876,1.605234484,Rice_L_Field
SRR30663927,1.625789373,Rice_L_Field
CRR044859,1.661129568,ZH11_R_Field
DS2_R_6,1.661660382,ZH11_R_Urban
DS3_R_3,1.66356489,ZH11_R_Urban
DS2_R_4,1.808281796,ZH11_R_Urban
DS3_R_4,1.818985198,ZH11_R_Urban
SRR30664028,1.819890041,Rice_L_Field
SRR30663924,1.879449384,Rice_L_Field
DS3_L_1,1.897202172,ZH11_L_Urban
SRR30663793,1.947612855,Rice_L_Field
SRR22998164,1.949094515,Ningbo_L_Urban
SRR22998147,1.965304593,Ningbo_L_Urban
SRR30663920,2.030270407,Rice_L_Field
SRR30688680,2.039540993,Rice_L_Field
DS2_R_2,2.098578772,ZH11_R_Urban
SRR30663865,2.127659574,Rice_L_Field
DS2_L_2,2.318533978,ZH11_L_Urban
SRR30663936,2.369175935,Rice_L_Field
DS1_R_1,2.37379542,ZH11_R_Urban
SRR22998161,2.460646553,Ningbo_L_Urban
SRR30663794,2.474135054,Rice_L_Field
SRR30663791,2.639423199,Rice_L_Field
SRR30663925,2.647671349,Rice_L_Field
SRR30688681,2.744545149,Rice_L_Field
DS3_R_2,2.765173551,ZH11_R_Urban
SRR22998160,2.839489031,Ningbo_L_Urban
SRR22998173,2.966393736,Ningbo_L_Urban
SRR30663877,3.108484201,Rice_L_Field
SRR22998177,3.148028442,Ningbo_L_Urban
DS3_R_6,3.226793608,ZH11_R_Urban
SRR30663875,3.502387465,Rice_L_Field
DS1_R_5,3.555484694,ZH11_R_Urban
SRR22998168,3.632466364,Ningbo_L_Urban
SRR22998151,3.830269754,Ningbo_L_Urban
SRR22998167,3.865165331,Ningbo_L_Urban
DS2_L_6,3.872778297,ZH11_L_Urban
SRR30663869,4.032632402,Rice_L_Field
SRR22998172,4.17045744,Ningbo_L_Urban
SRR30688669,4.206709942,Rice_L_Field
DS1_R_3,4.391604425,ZH11_R_Urban
SRR22998145,4.725841222,Ningbo_L_Urban
DS1_R_6,4.781970002,ZH11_R_Urban
SRR22998190,4.912578922,Ningbo_L_Urban
DS3_R_1,4.982260363,ZH11_R_Urban
SRR22998178,5.244560902,Ningbo_L_Urban
DS3_L_5,5.266306606,ZH11_L_Urban
SRR22998171,5.422624434,Ningbo_L_Urban
SRR22998187,5.509657251,Ningbo_L_Urban
DS3_R_5,5.553475602,ZH11_R_Urban
DS2_L_1,6.100196137,ZH11_L_Urban
SRR22998144,6.296880819,Ningbo_L_Urban
SRR22998163,6.391950031,Ningbo_L_Urban
SRR22998159,6.453950388,Ningbo_L_Urban
CRR044800,6.545454545,ZH11_R_Field
SRR22998156,6.640416312,Ningbo_L_Urban
SRR22998180,6.685432794,Ningbo_L_Urban
DS2_L_4,7.02079529,ZH11_L_Urban
SRR22998170,7.080087877,Ningbo_L_Urban
SRR22998166,7.176348263,Ningbo_L_Urban
SRR22998174,7.305723901,Ningbo_L_Urban
SRR22998184,7.354443309,Ningbo_L_Urban
DS1_L_1,7.411132504,ZH11_L_Urban
DS2_L_3,7.521176861,ZH11_L_Urban
SRR22998176,8.034042254,Ningbo_L_Urban
SRR22998181,8.336927525,Ningbo_L_Urban
SRR22998169,8.607567092,Ningbo_L_Urban
SRR22998182,8.963810434,Ningbo_L_Urban
SRR22998186,9.153533837,Ningbo_L_Urban
SRR22998153,9.271101682,Ningbo_L_Urban
SRR22998188,9.348620386,Ningbo_L_Urban
DS3_L_2,9.443501626,ZH11_L_Urban
SRR22998179,9.64765673,Ningbo_L_Urban
SRR22998148,10.03171825,Ningbo_L_Urban
SRR22998146,10.39945836,Ningbo_L_Urban
DS1_L_6,10.62928157,ZH11_L_Urban
SRR22998149,11.20067195,Ningbo_L_Urban
SRR22998150,12.41035418,Ningbo_L_Urban
SRR22998155,13.56909154,Ningbo_L_Urban
SRR22998158,13.74996891,Ningbo_L_Urban
DS2_L_5,14.00448143,ZH11_L_Urban
SRR22998154,15.19532452,Ningbo_L_Urban
DS1_L_3,16.80518808,ZH11_L_Urban
DS1_L_5,17.21952318,ZH11_L_Urban
SRR22998183,17.64319369,Ningbo_L_Urban
DS1_L_2,18.31898389,ZH11_L_Urban
SRR22998175,19.00441007,Ningbo_L_Urban
DS1_L_4,20.16062394,ZH11_L_Urban
SRR22998189,20.42212348,Ningbo_L_Urban
SRR22998185,28.56884943,Ningbo_L_Urban
SRR22998165,28.79029388,Ningbo_L_Urban
