,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_617,0,0,0,0,0,0,0,0,0,0,0,0,0.016184634,0.014689321,0.011367142,0.011850548,0.013782885,0.011918545
OTU_1359,0,0,0,0,0,0,0.006986533,0,0,0.016877637,0.007804086,0.006600224,0,0,0,0.008464677,0,0
OTU_184,0.165632815,0.030537977,0.028162139,0.022025392,0.041297033,0.250324941,0,0.003640269,0.008133917,0.015189873,0,0.023100785,0.00485539,0.011425027,0.009743265,0.015236418,0.196406113,0.011918545
OTU_843,0,0,0,0,0,0,0,0,0,0,0,0.001650056,0,0,0,0.001692935,0,0
OTU_37,0.001623851,0.067862172,0,0.001573242,0,0,0.0052399,0.063704701,0.029282101,0.006751055,0,0.004950168,0.375483516,0.076710898,0.042220815,0.06602448,0.099925917,0.064700674
OTU_1388,0,0,0,0,0,0,0.006986533,0.020021478,0.006507133,0.008438819,0.010925721,0.008250281,0.021040025,0,0.001623877,0.001692935,0,0
OTU_1121,0,0,0,0,0,0,0,0.007280537,0.003253567,0,0,0,0,0,0,0,0.013782885,0
OTU_1748,0,0,0,0,0,0,0.003493267,0,0,0,0.001560817,0,0,0.00489644,0,0.001692935,0,0.005107948
OTU_1395,0,0,0,0,0,0,0.0052399,0.058244298,0.061817768,0.008438819,0.004682452,0.004950168,0,0.001632147,0,0,0,0
OTU_95,0,0.001696554,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0
OTU_703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001623877,0,0.001722861,0.003405299
OTU_1716,0,0,0,0,0,0,0,0,0,0,0,0,0.045316976,0.001632147,0,0.010157612,0.012060024,0.003405299
OTU_985,0,0,0,0,0,0,0.022706234,0.020021478,0.013014267,0.021940928,0.020290624,0.018150617,0,0,0,0,0,0
OTU_1536,0,0,0,0,0,0,0,0,0,0,0,0,0.066357001,0.016321468,0.01299102,0.008464677,0.022397188,0.027242389
OTU_83,0.027605469,0.006786217,0.003754952,0.143165049,0.078005506,0.158860059,0.008733167,0.001820134,0.001626783,0.003375527,0.003121634,0,0.017803098,0.027746495,0.00649551,0.008464677,0.020674328,0.020431792
OTU_355,0,0,0,0.001573242,0,0,0.073358601,0.029122149,0.032535667,0.065822785,0.040581248,0.052801795,0,0,0,0,0,0
OTU_1423,0,0,0,0.004719727,0,0.078627706,0,0,0,0,0,0,0,0.001632147,0,0,0.010337164,0.005107948
OTU_193,0,0,0,0,0,0,0,0,0,0,0.001560817,0,0,0,0,0.001692935,0,0
OTU_1284,0,0,0,0,0,0,0.0157197,0.014561075,0.0097607,0.020253165,0.024973076,0.011550393,0,0,0,0,0,0
OTU_1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003445721,0
OTU_1741,0,0,0,0,0,0,0.001746633,0,0,0,0,0,0.025895415,0.001632147,0.003247755,0,0.001722861,0.005107948
OTU_1570,0,0,0,0,0,0,0,0.001820134,0.001626783,0.005063291,0,0.001650056,0.038843122,0.026114348,0,0.005078806,0.015505746,0.020431792
OTU_1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_201,0,0,0,0,0,0,0,0,0.001626783,0.001687764,0.001560817,0,0.001618463,0,0,0,0,0
OTU_1092,0.008119256,0.001696554,0.016897283,0.004719727,0.009177118,0.006418588,0,0,0,0.001687764,0,0,0,0,0,0,0,0.001702649
OTU_1018,0,0.001696554,0,0,0,0,0.0157197,0.003640269,0.00488035,0.008438819,0.006243269,0.011550393,0,0,0.003247755,0,0.001722861,0.008513247
OTU_454,0,0,0,0,0,0,0.001746633,0.003640269,0,0.001687764,0.003121634,0.003300112,0,0,0.001623877,0,0,0
OTU_263,0,0,0.001877476,0,0,0,0.003493267,0.001820134,0.003253567,0.001687764,0.004682452,0.001650056,0.05664622,0.042435816,0.003247755,0.001692935,0.072360147,0.011918545
OTU_939,0,0,0,0,0,0,0,0,0,0.001687764,0,0.001650056,0,0,0,0,0,0
OTU_737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1621,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0.001632147,0.004871632,0,0,0
OTU_1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_659,0,0,0,0,0,0,0.001746633,0.001820134,0.001626783,0.001687764,0.001560817,0.001650056,0.050172366,0.048964403,0.022734285,0.02200816,0.058577262,0.045971532
OTU_946,0,0,0,0,0,0,0,0.003640269,0,0,0,0,0,0.009792881,0.001623877,0,0,0.001702649
OTU_288,0,0,0.001877476,0.001573242,0,0.635440235,0.0209596,0.003640269,0.006507133,0.016877637,0.004682452,0.003300112,0.027513878,0.013057174,0.009743265,0.020315225,0.02756577,0.037458285
OTU_1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1372,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0.00485539,0,0.001623877,0.008464677,0.049962958,0.006810597
OTU_1502,0,0,0,0,0.042826552,0,0,0,0,0,0,0,0.003236927,0,0,0,0.001722861,0.001702649
OTU_674,0.001623851,0,0,0,0,0,0,0.007280537,0,0,0,0,0.087397025,0.086503778,0.099056527,0.121891347,0.282549145,0.238370905
OTU_1492,0.01461466,0.013572434,0.018774759,0.02045215,0.006118079,0.035302235,0.0104798,0.005460403,0.003253567,0.001687764,0.007804086,0.006600224,0.006473854,0.013057174,0.004871632,0.018622289,0.008614303,0.015323844
OTU_446,0.243577669,0.288414231,0.420554606,0.344540063,0.152951973,0.160464706,0.047159101,0.043683224,0.040669584,0.025316456,0.035898797,0.041251403,0,0.062021577,0.024358162,0.001692935,0.003445721,0.023837091
OTU_861,0,0,0,0,0,0,0.0104798,0,0,0.027004219,0.024973076,0.016500561,0,0,0,0,0,0
OTU_1844,0,0,0,0,0,0,0,0.001820134,0.003253567,0.001687764,0,0.001650056,0,0,0.003247755,0,0,0.010215896
OTU_62,0.125036537,0.161172658,1.041999136,0.062929692,0.844294891,0.194162294,0.0209596,0.163812089,0.130142669,0.027004219,0.020290624,0.031351066,0.378720443,0.145261062,0.139653465,0.094804381,1.428251469,0.475039161
OTU_26,0.056834789,0.025448314,0,0,0.006118079,0.389929235,0.164183536,0.167452358,0.112248052,0.15021097,0.068675959,0.132004488,1.149109036,0.346015114,0.206232442,0.192994633,0.477232397,0.389906695
OTU_576,0,0,0,0,0,0,0.001746633,0.001820134,0.003253567,0.001687764,0.003121634,0.041251403,0.032369269,0.075078751,0.022734285,0.032165772,0.051685819,0.02553974
OTU_1529,0,0,0,0,0,0,0,0,0.050430284,0,0,0,0,0,0,0,0.005168582,0
OTU_1241,0,0,0.001877476,0,0,0,0,0,0,0,0,0,0.046935439,0.042435816,0.029229795,0.025394031,0.020674328,0.052782129
OTU_1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001722861,0.003405299
OTU_1333,0,0,0,0,0,0,0,0,0,0,0,0,0.016184634,0,0,0,0,0
OTU_729,0,0,0,0.001573242,0,0,0,0,0,0,0,0,0.173175587,0.093032365,0.042220815,0.067717415,0.153334597,0.078321869
OTU_432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_60,0.003247702,0.001696554,0.001877476,0.02045215,0.1162435,0,0.057638901,0.001820134,0.001626783,0.003375527,0.001560817,0,0,0,0,0,0,0
OTU_928,0.224091455,0,0.04130447,0,0.067298868,0.019255765,0.003493267,0,0.001626783,0.003375527,0.003121634,0.001650056,0.011329244,0,0.001623877,0.08803264,0.001722861,0.008513247
OTU_857,0,0,0.165217881,0,0,0.056162647,0,0,0,0,0,0,0.001618463,0,0,0,0.008614303,0
